
PARTICLE DATA
-------------
DATA CARDS MUST START IMMEDIATELY AFTER $PRBEG CARD
READING STOPS AT CARD $PREND99999
READING FORMAT: (6X,I5,5X,A5,3X,E12.5,4X,F6.2)
UNDEFINED MASSES OF HADRONS (I.E. LEFT BLANK) ARE SET EQUAL TO:
      SUM OF QUARK MASSES -.03 + .04*JSPIN
UNDEFINED MASSES OF W+, W- AND Z0 ARE SET EQUAL TO THEIR WEINBERG-SALAM
VALUES DIVIDED BY SQRT(0.9304) (MARCIANO AND SIRLIN).

      IDENT     LABEL           MASS    CHARGE

$PRBEG
          1     UP        .30000E+00       .67
         -1     UB        .30000E+00      -.67
          2     DN        .30000E+00      -.33
         -2     DB        .30000E+00       .33
          3     ST        .50000E+00      -.33
         -3     SB        .50000E+00       .33
          4     CH        .16000E+01       .67
         -4     CB        .16000E+01      -.67
          5     BT        .49000E+01      -.33
         -5     BB        .49000E+01       .33
          6     TP        .30000E+02       .67
         -6     TB        .30000E+02      -.67

          9     GL       0.               0.00

         10     GM       0.               0.00

         11     NUE      0.               0.00
        -11     ANUE     0.               0.00
         12     E-        .51100E-03     -1.00
        -12     E+        .51100E-03      1.00
         13     NUM      0.               0.00
        -13     ANUM     0.               0.00
         14     MU-       .10566E+00     -1.00
        -14     MU+       .10566E+00      1.00
         15     NUT      0.               0.00
        -15     ANUT     0.               0.00
         16     TAU-      .18070E+01     -1.00
        -16     TAU+      .18070E+01      1.00

         20     KS        .49767E+00      0.00
        -20     KL        .49767E+00      0.00

         80     W+                        1.00
        -80     W-                       -1.00
         81     H10                       0.00
        -81     AH10                      0.00
         82     H20                       0.00
        -82     AH20                      0.00
         83     H30                       0.00
        -83     AH30                      0.00
         84     H4+                       1.00
        -84     H4-                      -1.00
         85     H5+                       1.00
        -85     H5-                      -1.00
         86     H6+                       1.00
        -86     H6-                      -1.00
         87     H7++                      2.00
        -87     H7--                     -2.00
         88     H8++                      2.00
        -88     H8--                     -2.00
         89     H9++                      2.00
        -89     H9--                     -2.00
         90     Z0                        0.00



        110     PI0       .13496E+00      0.00
        120     PI+       .13957E+00      1.00
       -120     PI-       .13957E+00     -1.00
        220     ETA       .54880E+00      0.00
        130     K+        .49367E+00      1.00
       -130     K-        .49367E+00     -1.00
        230     K0        .49767E+00      0.00
       -230     AK0       .49767E+00      0.00
        330     ETAP      .95760E+00      0.00
        140     AD0       .18633E+01      0.00
       -140     D0        .18633E+01      0.00
        240     D-        .18683E+01     -1.00
       -240     D+        .18683E+01      1.00
        340     F-        .20300E+01     -1.00
       -340     F+        .20300E+01      1.00
        440     ETAC      .29760E+01      0.00
        150     UB.       .51700E+01      1.00
       -150     BU.       .51700E+01     -1.00
        250     DB.       .51700E+01      0.00
       -250     BD.       .51700E+01      0.00
        350     SB.       .53700E+01      0.00
       -350     BS.       .53700E+01      0.00
        450     CB.       .64700E+01      1.00
       -450     BC.       .64700E+01     -1.00
        550     BB.       .97700E+01      0.00
        160     UT.                       0.00
       -160     TU.                       0.00
        260     DT.                      -1.00
       -260     TD.                       1.00
        360     ST.                      -1.00
       -360     TS.                       1.00
        460     CT.                       0.00
       -460     TC.                       0.00
        560     BT.                      -1.00
       -560     TB.                       1.00
        660     TT.                       0.00

        111     RHO0      .77600E+00      0.00
        121     RHO+      .77600E+00      1.00
       -121     RHO-      .77600E+00     -1.00
        221     OMEG      .78260E+00      0.00
        131     K*+       .88810E+00      1.00
       -131     K*-       .88810E+00     -1.00
        231     K*0       .89220E+00      0.00
       -231     AK*0      .89220E+00      0.00
        331     PHI       .10196E+01      0.00
        141     AD*0      .20060E+01      0.00
       -141     D*0       .20060E+01      0.00
        241     D*-       .20086E+01     -1.00
       -241     D*+       .20086E+01      1.00
        341     F*-       .21400E+01     -1.00
       -341     F*+       .21400E+01      1.00
        441     JPSI      .30970E+01      0.00
        151     UB*       .52100E+01      1.00
       -151     BU*       .52100E+01     -1.00
        251     DB*       .52100E+01      0.00
       -251     BD*       .52100E+01      0.00
        351     SB*       .54100E+01      0.00
       -351     BS*       .54100E+01      0.00
        451     CB*       .65100E+01      1.00
       -451     BC*       .65100E+01     -1.00
        551     UPSL      .98100E+01      0.00
        161     UT*                       0.00
       -161     TU*                       0.00
        261     DT*                      -1.00
       -261     TD*                       1.00
        361     ST*                      -1.00
       -361     TS*                       1.00
        461     CT*                       0.00
       -461     TC*                       0.00
        561     BT*                      -1.00
       -561     TB*                       1.00
        661     TT*                       0.00


       1120     P         .93828E+00      1.00
      -1120     AP        .93828E+00     -1.00
       1220     N         .93957E+00      0.00
      -1220     AN        .93957E+00      0.00
       1130     S+        .11894E+01      1.00
      -1130     AS-       .11894E+01     -1.00
       1230     S0        .11925E+01      0.00
      -1230     AS0       .11925E+01      0.00
       2130     L         .11156E+01      0.00
      -2130     AL        .11156E+01      0.00
       2230     S-        .11974E+01     -1.00
      -2230     AS+       .11974E+01      1.00
       1330     XI0       .13149E+01      0.00
      -1330     AXI0      .13149E+01      0.00
       2330     XI-       .13213E+01     -1.00
      -2330     AXI+      .13213E+01      1.00
       1140     SC++      .24300E+01      2.00
      -1140     ASC--     .24300E+01     -2.00
       1240     SC+       .24300E+01      1.00
      -1240     ASC-      .24300E+01     -1.00
       2140     LC+       .22600E+01      1.00
      -2140     ALC-      .22600E+01     -1.00
       2240     SC0       .24300E+01      0.00
      -2240     ASC0      .24300E+01      0.00
       1340     USC.      .25000E+01      1.00
      -1340     AUSC.     .25000E+01     -1.00
       3140     SUC.      .24000E+01      1.00
      -3140     ASUC.     .24000E+01     -1.00
       2340     DSC.      .25000E+01      0.00
      -2340     ADSC.     .25000E+01      0.00
       3240     SDC.      .24000E+01      0.00
      -3240     ASDC.     .24000E+01      0.00
       3340     SSC.      .26000E+01      0.00
      -3340     ASSC.     .26000E+01      0.00
       1440     UCC.      .35500E+01      2.00
      -1440     AUCC.     .35500E+01     -2.00
       2440     DCC.      .35500E+01      1.00
      -2440     ADCC.     .35500E+01     -1.00
       3440     SCC.      .37000E+01      1.00
      -3440     ASCC.     .37000E+01     -1.00
       1150     UUB.      .54700E+01      1.00
      -1150     AUUB.     .54700E+01     -1.00
       1250     UDB.      .54700E+01      0.00
      -1250     AUDB.     .54700E+01      0.00
       2150     DUB.      .54700E+01      0.00
      -2150     ADUB.     .54700E+01      0.00
       2250     DDB.      .54700E+01     -1.00
      -2250     ADDB.     .54700E+01      1.00
